number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
95,Americium,Am,"americium, Am","/?æm??r?si?m/, AM-?-RIS-ee-?m",silvery white,95,"group n/a, f-block",7,actinide,(243),[Rn] 5f7 7s2,"2, 8, 18, 32, 25, 8, 2",,solid,"1449 K (1176 °C, 2149 °F)","2880 K (2607 °C, 4725 °F) (calculated)",,,,,,14.39 kJ/mol,,62.7 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1239, 1356","8, 7, 6, 5, 4, 3, 2 (an amphoteric oxide)",Pauling scale: 1.3,1st: 578 kJ/mol,180±6 pm,,double hexagonal close-packed (dhcp),,10 W/(m·K),paramagnetic,7440-35-9,"Glenn T. Seaborg, Ralph A. James, Leon O. Morgan, Albert Ghiorso (1944)",,"iso, NA, half-life, DM, DE (MeV), DP, 241Am, syn, 432.2 y, SF, –, –, ?, 5.486, 237Np, 242m1Am, syn, 141 y, IT, 0.049, 242Am, ?, 5.637, 238Np, SF, –, –, 243Am, syn, 7370 y, SF, –, –, ?, 5.275, 239Np",1239,after the Americas,,12 g/cm3,empirical: 173 pm,,,0.69 µ?·m,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Curium,Cm,"curium, Cm","/?kj??ri?m/, KEWR-ee-?m","silvery metallic, glows purple in the dark",96,"group n/a, f-block",7,actinide,(247),[Rn] 5f7 6d1 7s2,"2, 8, 18, 32, 25, 9, 2",,solid,"1613 K (1340 °C, 2444 °F)","3383 K (3110 °C, 5630 °F)",,,,,,13.85 kJ/mol,,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1788, 1982","6, 4, 3, 2 (an amphoteric oxide)",Pauling scale: 1.3,1st: 581 kJ/mol,169±3 pm,,double hexagonal close-packed (dhcp),,,antiferromagnetic-paramagnetic transition at 52 K,7440-51-9,"Glenn T. Seaborg, Ralph A. James, Albert Ghiorso (1944)",,"iso, NA, half-life, DM, DE (MeV), DP, 242Cm, syn, 160 d, SF, –, –, ?, 6.1, 238Pu, 243Cm, syn, 29.1 y, ?, 6.169, 239Pu, ?, 0.009, 243Am, SF, –, –, 244Cm, syn, 18.1 y, SF, –, –, ?, 5.8048, 240Pu, 245Cm, syn, 8500 y, SF, –, –, ?, 5.623, 241Pu, 246Cm, syn, 4730 y, ?, 5.475, 242Pu, SF, –, –, 247Cm, syn, 1.56×107 y, ?, 5.353, 243Pu, 248Cm, syn, 3.40×105 y, ?, 5.162, 244Pu, SF, –, –, 250Cm, syn, 9000 y, SF, –, –, ?, 5.169, 246Pu, ??, 0.037, 250Bk",1788,named after Marie Sk?odowska-Curie and Pierre Curie,,13.51 g/cm3,empirical: 174 pm,,,1.25 µ?·m,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Berkelium,Bk,"berkelium, Bk","/b?r?ki?li.?m/; less commonly: /?b??rkli.?m/, b?r-KEE-lee-?m; BERK-lee-?m",silvery,97,"group n/a, f-block",7,actinide,(247),[Rn] 5f9 7s2,"2, 8, 18, 32, 27, 8, 2",,solid,"beta: 1259 K (986 °C, 1807 °F)","beta: 2900 K (2627 °C, 4760 °F)",,,,,,7.92 kJ/mol (calculated),,,,"2, 3, 4",Pauling scale: 1.3,1st: 601 kJ/mol,,,double hexagonal close-packed (dhcp),,10 W/(m·K),paramagnetic,7440-40-6,Lawrence Berkeley National Laboratory (1949),,"iso, NA, half-life, DM, DE (MeV), DP, 245Bk, syn, 4.94 d, ?, 0.810, 245Cm, ?, 6.455, 241Am, 246Bk, syn, 1.8 d, ?, 6.070, 242Am, ?, 1.350, 246Cm, 247Bk, syn, 1380 y, ?, 5.889, 243Am, 248Bk, syn, >300 y, ?, 5.803, 244Am, 249Bk, syn, 330 d, ?, 5.526, 245Am, SF, –, –, ??, 0.125, 249Cf",,"after Berkeley, California, where it was discovered",,"alpha: 14.78 g/cm3, beta: 13.25 g/cm3",empirical: 170 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Californium,Cf,"californium, Cf","/?kæl??f??rni?m/, KAL-i-FOR-nee-?m",silvery,98,"group n/a, f-block",7,actinide,(251),[Rn] 5f10 7s2,"2, 8, 18, 32, 28, 8, 2",,solid,"1173 K (900 °C, 1652 °F)","1743 K (1470 °C, 2678 °F) (estimation)",,,,,,,,,,"2, 3, 4",Pauling scale: 1.3,1st: 608 kJ/mol,,,double hexagonal close-packed (dhcp),,,,7440-71-3,Lawrence Berkeley National Laboratory (1950),,"iso, NA, half-life, DM, DE (MeV), DP, 248Cf, syn, 333.5 d, ? (100%), 6.369, 244Cm, SF (2.9×10?3%), 0.0029, –, 249Cf, syn, 351 y, ? (100%), 6.295, 245Cm, SF (5.0×10?7%), 4.4×10?7, –, 250Cf, syn, 13.08 y, ? (99.92%), 6.129, 246Cm, SF (0.08%), 0.077, –, 251Cf, syn, 898 y, ?, 6.172, 247Cm, 252Cf, syn, 2.645 y, ? (96.91%), 6.217, 248Cm, SF (3.09%), –, –, 253Cf, syn, 17.81 d, ?? (99.69%), 0.29, 253Es, ? (0.31%), 6.126, 249Cm, 254Cf, syn, 60.5 d, SF (99.69%), –, –, ? (0.31%), 5.930, 250Cm",,"after California, where it was discovered",,15.1 g/cm3,,,,,,,,3–4,,,,,,,,,,,,,,,,,,,,,,
99,Einsteinium,Es,"einsteinium, Es","/a?n?sta?ni?m/, eyen-STY-nee-?m",silvery; glows blue in the dark,99,"group n/a, f-block",7,actinide,(252),[Rn] 5f11 7s2,"2, 8, 18, 32, 29, 8, 2",,solid,"1133 K (860 °C, 1580 °F)","1269 K (996 °C, 1825 °F) (estimated)",,,,,,,,,,"2, 3, 4",Pauling scale: 1.3,1st: 619 kJ/mol,,,face-centered cubic (fcc),,,paramagnetic,7429-92-7,Lawrence Berkeley National Laboratory (1952),,"iso, NA, half-life, DM, DE (MeV), DP, 252Es, syn, 471.7 d, ?, 6.760, 248Bk, ?, 1.260, 252Cf, ??, 0.480, 252Fm, 253Es, syn, 20.47 d, SF, –, –, ?, 6.739, 249Bk, 254Es, syn, 275.7 d, ?, 0.654, 254Cf, ??, 1.090, 254Fm, ?, 6.628, 250Bk, 255Es, syn, 39.8 d, ??, 0.288, 255Fm, ?, 6.436, 251Bk, SF, –, –",,after Albert Einstein,,8.84 g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fermium,Fm,"fermium, Fm","/?f??rmi?m/, FER-mee-?m",,100,"group n/a, f-block",7,actinide,(257),[Rn] 5f12 7s2,"2, 8, 18, 32, 30, 8, 2",,solid (predicted),"1800 K (1527 °C, 2781 °F) (predicted)",,,,,,,,,,,"2, 3",Pauling scale: 1.3,1st: 627 kJ/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-72-4,Lawrence Berkeley National Laboratory (1952),,"iso, NA, half-life, DM, DE (MeV), DP, 252Fm, syn, 25.39 h, SF, –, –, ?, 7.153, 248Cf, 253Fm, syn, 3 d, ?, 0.333, 253Es, ?, 7.197, 249Cf, 255Fm, syn, 20.07 h, SF, –, –, ?, 7.241, 251Cf, 257Fm, syn, 100.5 d, ?, 6.864, 253Cf, SF, –, –",,after Enrico Fermi,,9.7(1) g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mendelevium,Md,"mendelevium, Md",/?m?nd??l?vi?m/ or /?m?nd??li?vi?m/,,101,"group n/a, f-block",7,actinide,(258),[Rn] 5f13 7s2,"2, 8, 18, 32, 31, 8, 2",,solid (predicted),"1100 K (827 °C, 1521 °F) (predicted)",,,,,,,,,,,"2, 3",Pauling scale: 1.3,1st: 635 kJ/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-11-1,Lawrence Berkeley National Laboratory (1955),,"iso, NA, half-life, DM, DE (MeV), DP, 257Md, syn, 5.52 h, ?, 0.406, 257Fm, ?, 7.558, 253Es, SF, –, –, 258Md, syn, 51.5 d, ?, 1.230, 258Fm, 260Md, syn, 31.8 d, SF, –, –, ?, 7.000, 256Es, ?, –, 260Fm, ??, 1.000, 260No",,after Dmitri Mendeleev,,10.3(7) g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Nobelium,No,"nobelium, No","i/no??b?li?m/ or /no??bi?li?m/, noh-BEL-ee-?m or noh-BEE-lee-?m",,102,"group n/a, f-block",7,actinide,[259],[Rn] 5f14 7s2,"2, 8, 18, 32, 32, 8, 2",,solid (predicted),"1100 K (827 °C, 1521 °F) (predicted)",,,,,,,,,,,"2, 3",Pauling scale: 1.3 (predicted),"1st: 641.6 kJ/mol, 2nd: 1254.3 kJ/mol, 3rd: 2605.1 kJ/mol  (all estimated)",,,"face-centered cubic (fcc), (predicted)",,,,10028-14-5,Joint Institute for Nuclear Research (1966),,"iso
NA
half-life
DM
DE (MeV)
DP


253No
syn
1.62 min
80% ?
8.14, 8.06, 8.04, 8.01
249Fm


20% ?+

253Md


254No
syn
51 s
90% ?

250Fm


10% ?+

254Md


255No
syn
3.1 min
61% ?
8.12, 8.08, 7.93
251Fm


39% ?+
2.012
255Md


257No
syn
25 s
99% ?
8.32, 8.22
253Fm


1% ?+

257Md


259No
syn
58 min
75% ?
7.69, 7.61, 7.53....
255Fm


25% ?

259Md


10% SF",,after Alfred Nobel,,9.9(4) g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Lawrencium,Lr,"lawrencium, Lr","i/l??r?nsi?m/, l?-REN-see-?m",silvery (predicted),103,"group n/a, d-block",7,"actinide, sometimes considered a transition metal",[266],[Rn] 5f14 7s2 7p1,"2, 8, 18, 32, 32, 8, 3",,solid (predicted),"1900 K (1627 °C, 2961 °F) (predicted)",,,,,,,,,,,3,,"1st: 478.6 kJ/mol, 2nd: 1428.0 kJ/mol (predicted), 3rd: 2219.1 kJ/mol (predicted)",,,"hexagonal close-packed (hcp), (predicted)",,,,22537-19-5,Lawrence Berkeley National Laboratory and Joint Institute for Nuclear Research (1961–1971),,"iso, NA, half-life, DM, DE (MeV), DP, 266Lr, syn, 11 h, SF, 262Lr, syn, 3.6 h, ?, 262No, 261Lr, syn, 44 min, SF/??, 260Lr, syn, 2.7 min, ?, 8.04, 256Md, 259Lr, syn, 6.2 s, 78% ?, 8.44, 255Md, 22% SF, 256Lr, syn, 27 s, ?, 8.62,8.52,8.32..., 252Md, 255Lr, syn, 21.5 s, ?, 8.43,8.37, 251Md, 254Lr, syn, 13 s, 78% ?, 8.46,8.41, 250Md, 22% ?, 254No",,after Ernest Lawrence,,~15.6–16.6 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dubnium,Db,"dubnium, Db","i/?du?bni?m/, DOOB-nee-?m",,105,"group 5, d-block",7,transition metal,[268],[Rn] 5f14 6d3 7s2 ,"2, 8, 18, 32, 32, 11, 2",,solid (predicted),,,,,,,,,,,,"5, (4), (3) (parenthesized oxidation states are predictions)",,"1st: 656.1 kJ/mol, 2nd: 1546.7 kJ/mol, 3rd: 2378.4 kJ/mol, (more) (all but first estimated)",149 pm (estimated),,body-centered cubic (bcc) (predicted),,,,53850-35-4,Joint Institute for Nuclear Research (1968),,"iso, NA, half-life, DM, DE (MeV), DP, 262Db, syn, 34 s, 67% ?, 8.66,, 8.45, 258Lr, 33% SF, 263Db, syn, 27 s, 56% SF, 41% ?, 8.36, 259Lr, 3% ?, 263mRf, 266Db, syn, 22 min, SF, ?, 266Rf, 267Db, syn, 1.2 h, SF, 268Db, syn, 29 h, SF, ?, 268Rf, 270Db, syn, 23.15 h, 17% SF, 83% ?, 266Lr",,after the town of Dubna in Russia,,29.3 g/cm3 (predicted),empirical: 139 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Seaborgium,Sg,"seaborgium, Sg","i/si??b??r?i?m/, see-BOR-gee-?m",,106,"group 6, d-block",7,transition metal,[269],[Rn] 5f14 6d4 7s2 ,"2, 8, 18, 32, 32, 12, 2",,solid (predicted),,,,,,,,,,,,"6, (5), (4), (3), 0 (parenthesized oxidation states are predictions)",,"1st: 752.6 kJ/mol, 2nd: 1732.9 kJ/mol, 3rd: 2483.5 kJ/mol, (more) (all but first estimated)",143 pm (estimated),,"body-centered cubic (bcc), (predicted)",,,,54038-81-2,Lawrence Berkeley National Laboratory (1974),,"iso
NA
half-life
DM
DE (MeV)
DP


271Sg
syn
1.9 min
67% ?
8.54
267Rf


33% SF




269Sg
syn
3.1+3.7
?1.1 min
?
8.50(6)
265Rf


267Sg
syn
1.4 min
17% ?
8.20
263Rf


83% SF




265mSg
syn
16.2 s
?
8.70
261mRf


265Sg
syn
8.9 s
?
8.90, 8.84, 8.76
261Rf",,after Glenn T. Seaborg,,35.0 g/cm3 (predicted),empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bohrium,Bh,"bohrium, Bh",i/?b??ri?m/,,107,"group 7, d-block",7,transition metal,[270],[Rn] 5f14 6d5 7s2 ,"2, 8, 18, 32, 32, 13, 2",,solid (predicted),,,,,,,,,,,,"7, (5), (4), (3) (parenthesized oxidation states are predictions)",,"1st: 742.9 kJ/mol, 2nd: 1688.5 kJ/mol, 3rd: 2566.5 kJ/mol, (more) (all but first estimated)",141 pm (estimated),,"hexagonal close-packed (hcp), (predicted)",,,,54037-14-8,Gesellschaft für Schwerionenforschung (1981),,"iso, NA, half-life, DM, DE (MeV), DP, 274Bh, syn, ~54 s, ?, 8.8, 270Db, 272Bh, syn, 9.8 s, ?, 9.02, 268Db, 271Bh, syn, 1.2 s, ?, 9.35, 267Db, 270Bh, syn, 61 s, ?, 8.93, 266Db, 267Bh, syn, 17 s, ?, 8.83, 263Db",,after Niels Bohr,,37.1 g/cm3 (predicted),empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Hassium,Hs,"hassium, Hs","i/?hæsi?m/, HASS-ee-?m",silvery (predicted),108,"group 8, d-block",7,transition metal,[269],[Rn] 5f14 6d6 7s2 ,"2, 8, 18, 32, 32, 14, 2",,solid (predicted),,,,,,,,,,,,"8, (6), (5), (4), (3), (2) (parenthesized oxidation states are predictions)",,"1st: 733.3 kJ/mol, 2nd: 1756.0 kJ/mol, 3rd: 2827.0 kJ/mol, (more) (all but first estimated)",134 pm (estimated),,"hexagonal close-packed (hcp), (predicted)",,,,54037-57-9,Gesellschaft für Schwerionenforschung (1984),,"iso
NA
half-life
DM
DE (MeV)
DP


277Hs
syn
2 s
SF




277mHs ?
syn
~130 s?
SF




271Hs
syn
~4 s
?
9.27, 9.13
267Sg


270Hs
syn
3.6 s
?
9.02, 8.88
266Sg


269Hs
syn
9.7 s
?
9.21, 9.10, 8.97
265Sg",,"after Hassia, Latin for Hesse, Germany, where it was discovered",,41 g/cm3 (predicted),empirical: 126 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Meitnerium,Mt,"meitnerium, Mt","/ma?t?n??ri?m/ or /?ma?tn?ri?m/, myt-NEER-ee-?m or MYT-n?r-ee-?m",,109,"group 9, d-block",7,"unknown, but probably a transition metal",[278],[Rn] 5f14 6d7 7s2 (calculated),"2, 8, 18, 32, 32, 15, 2 (predicted)",,solid (predicted),,,,,,,,,,,,"9, 8, 6, 4, 3, 1 (predicted)",,"1st: 800.8 kJ/mol, 2nd: 1823.6 kJ/mol, 3rd: 2904.2 kJ/mol, (more) (all estimated)",129 pm (estimated),,"face-centered cubic (fcc), (predicted)",,,paramagnetic (predicted),54038-01-6,Gesellschaft für Schwerionenforschung (1982),,"iso, NA, half-life, DM, DE (MeV), DP, 278Mt, syn, 7.6 s, ?, 9.6, 274Bh, 276Mt, syn, 0.72 s, ?, 9.71, 272Bh, 274Mt, syn, 0.44 s, ?, 9.76, 270Bh, 270mMt ?, syn, 1.1 s, ?, 266Bh",,after Lise Meitner,,37.4 g/cm3 (predicted),empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Darmstadtium,Ds,"darmstadtium, Ds","i/d??rm??t??ti?m/, darm-SHTAHT-ee-?m",,110,"group 10, d-block",7,"unknown, but probably a transition metal",[281],"[Rn] 5f14 6d8 7s2, (predicted)","2, 8, 18, 32, 32, 16, 2 (predicted)",,solid (predicted),,,,,,,,,,,,"8, 6, 4, 2, 0 (predicted)",,"1st: 955.2 kJ/mol, 2nd: 1891.1 kJ/mol, 3rd: 3029.6 kJ/mol, (more) (all estimated)",128 pm (estimated),,"body-centered cubic (bcc), (predicted)",,,,54083-77-1,Gesellschaft für Schwerionenforschung (1994),,"iso, NA, half-life, DM, DE (MeV), DP, 281Ds, syn, 11 s, 94% SF, 6% ?, 8.67, 277Hs, 279Ds, syn, 0.20 s, 10% ?, 9.70, 275Hs, 90% SF",,"after Darmstadt, Germany, where it was discovered",,34.8 g/cm3 (predicted),empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Roentgenium,Rg,"roentgenium, Rg","i/r?nt???ni?m/ or /r?nt???ni?m/, runt-GEN-ee-?m or rent-GEN-ee-?m",silvery (predicted),111,"group 11, d-block",7,"unknown, but probably a transition metal",[282],[Rn] 5f14 6d9 7s2 (predicted),"2, 8, 18, 32, 32, 17, 2 (predicted)",,solid (predicted),,,,,,,,,,,,"5, 3, 1, ?1 (predicted)",,"1st: 1022.7 kJ/mol, 2nd: 2074.4 kJ/mol, 3rd: 3077.9 kJ/mol, (more) (all estimated)",121 pm (estimated),,"body-centered cubic (bcc), (predicted)",,,,54386-24-2,Gesellschaft für Schwerionenforschung (1994),,"iso, NA, half-life, DM, DE (MeV), DP, 282Rg, syn, 2.1+1.4, ?0.6 min, ?, 9.00, 278Mt, 281Rg, syn, 17+6, ?3 s, SF (90%), ? (10%), 277Mt, 280Rg, syn, 3.6 s, ?, 9.75, 276Mt, 279Rg, syn, 0.17 s, ?, 10.37, 275Mt",,after Wilhelm Röntgen,,28.7 g/cm3 (predicted),empirical: 138 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Ununbium,Uub,"copernicium, Cn","/ko?p?r?n?si?m/, koe-p?r-NIS-ee-?m",,112,"group 12, d-block",7,"transition metal, alternatively considered a post-transition metal",[285],[Rn] 5f14 6d10 7s2 (predicted),"2, 8, 18, 32, 32, 18, 2 (predicted)",,gas (predicted),,"357+112
?108 K (84+112
?108 °C, 183+202
?194 °F)",,,,,,,,,,"4, 2, 1, 0 (predicted)",,"1st: 1154.9 kJ/mol, 2nd: 2170.0 kJ/mol, 3rd: 3164.7 kJ/mol, (more) (all estimated)",122 pm (predicted),,"hexagonal close-packed (hcp), (predicted)",,,,54084-26-3,Gesellschaft für Schwerionenforschung (1996),,"iso
NA
half-life
DM
DE (MeV)
DP


285Cn
syn
29 s
?
9.15, 9.03?
281Ds


283Cn
syn
4 s
90% ?
9.53, 9.32, 8.94
279Ds


10% SF",,after Nicolaus Copernicus,,23.7 g/cm3 (predicted),empirical: 147 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ununtrium,Uut,"ununtrium, Uut","i/u?nu?n?tra??m/, oon-oon-TRY-?m",,113,"group 13, p-block",7,"unknown, but probably a post-transition metal",[286],[Rn] 5f14 6d10 7s2 7p1 (predicted),"2, 8, 18, 32, 32, 18, 3 (predicted)",,solid (predicted),"700 K (430 °C, 810 °F) (predicted)","1430 K (1130 °C, 2070 °F) (predicted)",,,,,,7.61 kJ/mol (extrapolated),130 kJ/mol (predicted),,,"?1, 1, 3, 5 (predicted)",,"1st: 704.9 kJ/mol (predicted), 2nd: 2238.5 kJ/mol (predicted), 3rd: 3203.3 kJ/mol (predicted), (more)",172–180 pm (extrapolated),,,,,,54084-70-7,"RIKEN (2004, first undisputed)
Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003, first announced)",,"iso
NA
half-life
DM
DE (MeV)
DP


286Uut
syn
20 s
?
9.63
282Rg


285Uut
syn
5.5 s
?
9.74, 9.48
281Rg


284Uut
syn
0.48 s
?
10.00
280Rg


EC

284Cn


283Uut
syn
0.10 s
?
10.12
279Rg


282Uut
syn
70 ms
?
10.63
278Rg


278Uut
syn
0.24 ms
?
11.68
274Rg",,IUPAC systematic element name,,16 g/cm3 (predicted),empirical: 170 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"nihonium, Nh","element 113, eka-thallium"
114,Ununquadium,Uuq,"flerovium, Fl","/fl??ro?vi?m/, fli-ROH-vee-?m",,114,"group 14 (carbon group), p-block",7,post-transition metal,[289],[Rn] 5f14 6d10 7s2 7p2 (predicted),"2, 8, 18, 32, 32, 18, 4 (predicted)",,solid (predicted),"340 K (67 °C, 160 °F) (predicted)","420 K (147 °C, 297 °F) (predicted)",,,,,,,38 kJ/mol (predicted),,,"0, 1, 2, 4, 6 (predicted)",,"1st: 823.9 kJ/mol (predicted), 2nd: 1601.6 kJ/mol (predicted), 3rd: 3367.3 kJ/mol (predicted), (more)",171–177 pm (extrapolated),,,,,,54085-16-4,Joint Institute for Nuclear Research (JINR) and Lawrence Livermore National Laboratory (LLNL) (1999),,"iso, NA, half-life, DM, DE (MeV), DP, 289Fl, syn, 2.6 s, ?, 9.82,9.48, 285Cn, 289mFl ?, syn, 2–23 s, ?, 9.71, 285mCn ?, 288Fl, syn, 0.8 s, ?, 9.94, 284Cn, 287Fl, syn, 0.48 s, ?, 10.02, 283Cn, 287mFl ?, syn, 5.5 s, ?, 10.29, 283mCn ?, 286Fl, syn, 0.13 s, 40% ?, 10.19, 282Cn, 60% SF, 285Fl, syn, 125 ms, ?, 10.41(5), 281Cn, 284Fl, syn, 2.5+1.8, ?0.8 ms, SF",,after Flerov Laboratory of Nuclear Reactions (itself named after Georgy Flyorov),,14 g/cm3 (predicted),empirical: 180 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Ununpentium,Uup,"ununpentium, Uup","i/u?nu?n?p?nti?m/, oon-oon-PEN-tee-?m",,115,"group 15 (pnictogens), p-block",7,"unknown, but probably a post-transition metal",[289],[Rn] 5f14 6d10 7s2 7p3 (predicted),"2, 8, 18, 32, 32, 18, 5 (predicted)",,solid (predicted),"670 K (400 °C, 750 °F) (predicted)","~1400 K (~1100 °C, ~2000 °F) (predicted)",,,,,,5.90–5.98 kJ/mol (extrapolated),138 kJ/mol (predicted),,,"1, 3 (prediction)",,"1st: 538.4 kJ/mol (predicted), 2nd: 1756.0 kJ/mol (predicted), 3rd: 2653.3 kJ/mol (predicted), (more)",156–158 pm (extrapolated),,,,,,54085-64-2,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003),,"iso, NA, half-life, DM, DE (MeV), DP, 290Uup, syn, 16 ms, ?, 9.95, 286Uut, 289Uup, syn, 220 ms, ?, 10.31, 285Uut, 288Uup, syn, 87 ms, ?, 10.46, 284Uut, 287Uup, syn, 32 ms, ?, 10.59, 283Uut",,IUPAC systematic element name,,13.5 g/cm3 (predicted),empirical: 187 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"moscovium, Mc","element 115, eka-bismuth"
116,Ununhexium,Uuh,"livermorium, Lv","/?l?v?r?m??ri?m/, LIV-?r-MOHR-ee-?m",,116,"group 16 (chalcogens), p-block",7,"unknown, but probably a post-transition metal",[293],[Rn] 5f14 6d10 7s2 7p4 (predicted),"2, 8, 18, 32, 32, 18, 6 (predicted)",,solid (predicted),"637–780 K (364–507 °C, 687–944 °F) (extrapolated)","1035–1135 K (762–862 °C, 1403–1583 °F) (extrapolated)",,,,,,7.61 kJ/mol (extrapolated),42 kJ/mol (predicted),,,"?2, +2, +4 (predicted)",,"1st: 723.6 kJ/mol (predicted), 2nd: 1331.5 kJ/mol (predicted), 3rd: 2846.3 kJ/mol (predicted), (more)",162–166 pm (extrapolated),,,,,,54100-71-9,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2000),,"iso, NA, half-life, DM, DE (MeV), DP, 293Lv, syn, 61 ms, ?, 10.54, 289Fl, 292Lv, syn, 18 ms, ?, 10.66, 288Fl, 291Lv, syn, 18 ms, ?, 10.74, 287Fl, 290Lv, syn, 7.1 ms, ?, 10.84, 286Fl",,"after Lawrence Livermore National Laboratory, itself named partly after Livermore, California",,12.9 g/cm3 (predicted),empirical: 183 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ununseptium,Uus,"ununseptium, Uus","i/u?nu?n?s?pti?m/, oon-oon-SEP-tee-?m",semimetallic (predicted),117,"group 17, p-block",7,"unknown, but probably a post-transition metal",[294],[Rn] 5f14 6d10 7s2 7p5 (predicted),"2, 8, 18, 32, 32, 18, 7 (predicted)",,solid (predicted),"623–823 K (350–550 °C, 662–1022 °F) (predicted)","883 K (610 °C, 1130 °F) (predicted)",,,,,,,,,,"?1, +1, +3, +5 (predicted)",,"1st: 742.9 kJ/mol (predicted), 2nd: 1785.0–1920.1 kJ/mol (extrapolated)",156–157 pm (extrapolated),,,,,,54101-14-3,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2010),,"iso
NA
half-life
DM
DE (MeV)
DP


294Uus
syn
51+41
?16 ms
?
10.81
290Uup


293Uus
syn
22+8
?4 ms
?
11.11, 11.00, 10.91
289Uup",,IUPAC systematic element name,,7.1–7.3 g/cm3 (extrapolated),empirical: 138 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"tennessine, Ts","element 117, eka-astatine"
118,Ununoctium,Uuo,"ununoctium, Uuo","i/u?n.u?n??kti?m/, oon-oon-OK-tee-?m",,118,"group 18, p-block",7,"unknown, but predicted to be a noble gas",[294],[Rn] 5f14 6d10 7s2 7p6 (predicted),"2, 8, 18, 32, 32, 18, 8 (predicted)",,solid (predicted),,"350±30 K (80±30 °C, 170±50 °F) (extrapolated)",,,,,"439 K, 6.8 MPa (extrapolated)",23.5 kJ/mol (extrapolated),19.4 kJ/mol (extrapolated),,,"?1, 0, +1, +2, +4, +6 (predicted)",,"1st: 839.4 kJ/mol (predicted), 2nd: 1563.1 kJ/mol (predicted)",157 pm (predicted),,,,,,54144-19-3,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2002),,"iso, NA, half-life, DM, DE (MeV), DP, 294Uuo, syn, ~0.89 ms, ?, 11.65±0.06, 290Lv, SF",,IUPAC systematic element name,,,,,,,,,,,,,,,4.9–5.1 g/cm3 (predicted),,,,,Niels Bohr (1922),,,,,,,,,,,"oganesson, Og","element 118, eka-radon"
